X,Y,osm_id,osm_type,completeness,#loc+amenity,#meta+healthcare,#loc +name,#meta +operator,#geo+bounds+url,#meta +speciality,#meta +operator_type,#contact +phone,#status+operational_status,#access +hours,#capacity +beds,#capacity +staff,#meta +health_amenity_type,#meta+dispensing,#meta+wheelchair,#meta+emergency,#meta+insurance,#meta+water_source,#meta+electricity,#meta+is_in_health_area,#meta+is_in_health_zone,#contact +url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,#meta +id
115.6006639,-31.49058026,10069904102,node,15.625,dentist,dentist,Two Rocks Dental Care,,,,,,,Mo-Tu 09:00-17:00; We-Th 09:00-19:00; Fr 09:00-17:00; Sa 09:00-13:00,,,,,,,,,,,,,,,,,126918642,1,2022/10/03 06:22:55+00,417a0c4b8bd34de9b56c232cfc08c03a
115.6301517,-33.36241054,691525960,node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,96094006,2,2020/12/18 23:38:11+00,a2922753e1f54886a59caeb68ebddc79
115.6320724,-31.54230885,9143436053,node,25,clinic,clinic,Beachside Medical Centre,,,general,,,,,,,,,,,,,,,,,105,Lindsay Beach Boulevard,6035,,112053194,1,2021/10/04 01:40:10+00,50fd991896b84b3896abfd5f4e40fadb
115.6334429,-33.37598956,691535697,node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,110516938,2,2021/08/31 14:04:03+00,a8e08800cbb747df9ff60e2016dfb35c
115.6355914,-33.32195075,6673721038,node,9.375,clinic,,Bunbury Oral Care,,,,,,,,,,,,,,,,,,,,,,,,72931069,1,2019/08/02 09:46:59+00,c00e8d1dcfe94889b201b9a921e20a60
115.6361062,-33.32011998,7607738939,node,15.625,clinic,,Sleep and Snore,,,,,,,Mo-Fr 08:30-17:00,,,,,,,,,,,,,13,,,,145171815,3,2023/12/16 02:41:33+00,fb7f4c4c7e264aaaa2b9c63f2c98c9f2
115.6361062,-33.32011998,7607738939,node,18.75,clinic,clinic,Sleep And Snore,,,,,,,Mo-Fr 08:30-17:00,,,,,,,,,,,,,13,,,,145171815,3,2023/12/16 02:41:33+00,fb7f4c4c7e264aaaa2b9c63f2c98c9f2
115.636544,-33.32008603,7607738938,node,9.375,,rehabilitation,Koombana studio,,,,,,,,,,,,,,,,,,,,,,,,145171815,2,2023/12/16 02:41:33+00,2eded729569340e4b58e73b7d7b45918
115.636544,-33.32008603,7607738938,node,9.375,,rehabilitation,Koombana Studio,,,,,,,,,,,,,,,,,,,,,,,,145171815,2,2023/12/16 02:41:33+00,2eded729569340e4b58e73b7d7b45918
115.6371477,-33.32559822,6961299768,node,15.625,pharmacy,pharmacy,Wizard,,,,,,,08:00-20:00,,,,,,,,,,,,,,,,,108954599,2,2021/07/31 19:10:40+00,f03d9419f8024dfeba238555314d3fef
115.6373124,-33.31989534,7607750635,node,9.375,dentist,,Dentristry on Marlston,,,,,,,,,,,,,,,,,,,,,,,,145171815,2,2023/12/16 02:41:33+00,05ea0014e94345e4b0b2e079f524c6dc
115.6373124,-33.31989534,7607750635,node,9.375,dentist,,Dentristry On Marlston,,,,,,,,,,,,,,,,,,,,,,,,145171815,2,2023/12/16 02:41:33+00,05ea0014e94345e4b0b2e079f524c6dc
115.6397209,-33.32563251,691506222,node,12.5,pharmacy,pharmacy,Wizard,,,,,,,,,,,,,,,,,,,,,,,,112699106,3,2021/10/19 13:42:58+00,b72025c4d177466d85a2951128f54a80
115.6398935,-33.33875521,691542207,node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,112699182,2,2021/10/19 13:44:38+00,b4ff780f377d4b15a6b404976c2d9521
115.6405555,-33.3398493,6665453895,node,9.375,clinic,,The Geographer Clinic,,,,,,,,,,,,,,,,,,,,,,,,72851020,1,2019/07/31 11:20:48+00,1423cae1f862406e886754ae28bc06be
115.6405721,-33.32964626,9567656656,node,15.625,dentist,dentist,Vivid Smiles Dental Centre,,,,,,,Mo-Fr 09:00-17:00,,,,,,,,,,,,,,,,,118304474,1,2022/03/10 06:03:35+00,99c9eb70d32d439395eb59ec958aeda7
115.6407251,-33.3373815,691543721,node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,112699163,2,2021/10/19 13:44:09+00,86b26063ff2b4647b90766c2f7ee83ee
115.6409118,-33.34475934,9742632910,node,15.625,pharmacy,pharmacy,TerryWhite Chemmart,,,,,,,,,,,yes,,,,,,,,,,,,,121033284,1,2022/05/16 05:43:01+00,bcbb0a84865c472eae4f673343b8047a
115.6443643,-33.34724474,765595934,node,12.5,hospital,,Silver Chain,,,,,,,,,,,,,no,,,,,,,,,,,141947429,3,2023/09/30 11:39:15+00,3b311a1ae03a468091ec979c1b274b64
115.6452354,-33.35966613,691538685,node,15.625,pharmacy,pharmacy,Wizard Pharmacy,,,,,,,,,,,yes,,,,,,,,,,,,,86334189,3,2020/06/08 06:38:21+00,9d7602085ea743dda856c1689ad3cde4
115.6461318,-33.33996346,1264963723,node,28.125,pharmacy,pharmacy,Bunbury Drive-In Chemist,,,,,,,Mo-Su 08:30-22:00,,,,yes,,,,,,,,,51-55,"Forrest Avenue, South Bunbury",6230,,110517020,8,2021/08/31 14:05:49+00,f0b3ca3f94c04e928ab219a66cd0976c
115.6463123,-33.33993748,1392593475,node,21.875,pharmacy,pharmacy,Bunbury Medical Services - Doctors GP Surgery,,,,,,,,,,,,,,,,,,,,55,"Forrest Avenue, South Bunbury",6230,,108954871,2,2021/07/31 19:20:44+00,d9ff58dc31e44d22924b42f642ac12cf
115.6475105,-33.33360261,8899798867,node,21.875,clinic,vaccination_centre,Bunbury COVID-19 Vaccination Community Clinic,,,vaccination,,,,,,,,,,,,,,,,,42,Strickland Street,,,107564281,3,2021/07/07 12:33:48+00,e8212bc1fbb14e65af60199f4e4d3ba7
115.6484089,-33.36775082,148974559,node,15.625,hospital,hospital,St John of God Hospital,,,,,,,,,,,,,yes,,,,,,,,,,,86339774,5,2020/06/08 08:07:54+00,4929c792876f42a8b13fbd788c4c1651
115.6486455,-33.36616295,127843052,node,21.875,hospital,hospital,Bunbury Regional Hospital,Government of Western Australia,,,government,,,,,,,,,yes,,,,,,,,,,,86339774,6,2020/06/08 08:07:54+00,a729a9f2ada142018c58c1b1079bef43
115.6969044,-33.31101346,728597524,node,15.625,pharmacy,pharmacy,Eaton Community Pharmacy,,,,,,,,,,,yes,,,,,,,,,,,,,112699198,4,2021/10/19 13:45:08+00,f841370832ea41328f9701db60a10fd1
115.699396,-31.63644441,7678888241,node,25,clinic,clinic,Butler Family Practice,,,general_practice;nurses,,,,Mo-Fr 07:30-19:00,,,,,,,,,,,,,150,Camborne Parkway,,,144085244,5,2023/11/16 09:07:59+00,2b80a8fd3ac44787874f96a742a027bd
115.7016089,-32.54987614,9415591254,node,12.5,dentist,dentist,Halls Head Dentist,,,,,,,,,,,,,,,,,,,,,,,,116108042,1,2022/01/13 13:49:51+00,68a4c2b2112e421788120db0d4a38e00
115.7080791,-31.65919172,1951525839,node,9.375,clinic,clinic,,,,,,,,,,,,,,,,,,,,,,,,,97311200,2,2021/01/11 13:55:09+00,fca946896f28423f8436e91d966c38ff
115.70824,-31.65896122,1951526020,node,9.375,dentist,dentist,,,,,,,,,,,,,,,,,,,,,,,,,97311200,2,2021/01/11 13:55:09+00,5134cd3e53094a119be7f8c4d8e2e65d
115.7139061,-31.65314535,7715211338,node,21.875,clinic,clinic,Clinipath Pathology,,,,,,,,,,,,,,,,,,,,2,Captiva Approach,6036,,88002539,1,2020/07/15 02:38:56+00,596067497e1741c6921b70b8300c5d25
115.7152711,-33.28035154,6673715650,node,12.5,pharmacy,pharmacy,Terry White,,,,,,,,,,,,,,,,,,,,,,,,108954581,2,2021/07/31 19:09:42+00,547d992a1dd247d7a79d2b51342bfe23
115.7153009,-33.32127534,1768369251,node,9.375,clinic,,Eaton Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,128015860,3,2022/10/24 21:52:56+00,703473bbe6264dce945a50b0024c4e10
115.7153033,-33.32084141,9529321546,node,9.375,dentist,,Eaton Family Dental Practice,,,,,,,,,,,,,,,,,,,,,,,,128015860,2,2022/10/24 21:52:56+00,3b2b3140d6614d029ba5441e772fee9e
115.7153318,-33.27988928,747141538,node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,96125264,2,2020/12/19 23:41:51+00,7effb1db81fa47fe80b40662b9547800
115.715826,-33.27972415,6673732998,node,9.375,clinic,,Eyes @ Australind,,,,,,,,,,,,,,,,,,,,,,,,72931069,1,2019/08/02 09:47:24+00,f6ef4c853d424ff8a79a7b9e25c7ed68
115.7162548,-31.66924296,505063603,node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,113171235,3,2021/10/30 18:48:52+00,44543b62f385487ea245aa26c7a90200
115.7163066,-33.31905715,727513761,node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,112699223,4,2021/10/19 13:45:42+00,609edc0b7a3c495b807e55418d2ef30f
115.7166486,-33.2808143,6673712970,node,12.5,clinic,clinic,Australind Chiropractor,,,,,,,,,,,,,,,,,,,,,,,,96125264,2,2020/12/19 23:41:51+00,a8df12fa17a1457781f85b12378a7d19
115.7209624,-32.53251495,2491856141,node,18.75,pharmacy,pharmacy,ChemMart,,,,,,,"08:00-20:00, Su 09:00-20:00",,,,yes,,,,,,,,,,,,,113171211,6,2021/10/30 18:47:06+00,af15787b76494295bb7d52b09b604035
115.7210115,-32.53364735,2467504687,node,15.625,pharmacy,pharmacy,Friendlies,,,,,,,,,,,yes,,,,,,,,,,,,,112699618,3,2021/10/19 13:54:35+00,f8045d4795ce428cb9defc12fcf702e2
115.7349052,-31.71978995,752876505,node,12.5,doctors,doctor,Kinross Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,106530601,4,2021/06/17 12:36:34+00,f4e5f5923df74bf3940c951eb0db9405
115.7349776,-31.71955383,752876518,node,12.5,dentist,dentist,Orthodontist,,,,,,,,,,,,,,,,,,,,,,,,106530601,4,2021/06/17 12:36:34+00,efc2b2e7713d4940b876c2a7cd172447
115.7350393,-31.71975918,752876503,node,12.5,pharmacy,pharmacy,Guardian Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,106530601,4,2021/06/17 12:36:34+00,1ea3004d977e448e91f78028dcc9fcfc
115.7353574,-31.75171695,5201920803,node,28.125,dentist,dentist,The Reef Dental Centre,Dr David Plichta,,,,,,,,,,,,,,,,,,,62,Constellation Drive,6027,Ocean Reef,143137931,4,2023/10/25 23:30:32+00,6fd7d6eaadca45279b2885bf8e3a919d
115.7353574,-31.75171695,5201920803,node,28.125,dentist,dentist,The Reef Dental Centre,Dr David Plichta,,,,,,,,,,,,,,,,,,,62,Constellation Drive,6027,Ocean Reef,143137931,4,2023/10/25 23:30:32+00,6fd7d6eaadca45279b2885bf8e3a919d
115.7378724,-31.73746755,9435613668,node,18.75,dentist,dentist,Smiles in Currambine,,,,,,,,,,,,,,,,,,,,10,Chesapeake Way,,,144162847,2,2023/11/18 06:08:11+00,c5a79a04101b441cabf900084069c8ea
115.7378724,-31.73746755,9435613668,node,21.875,dentist,dentist,Smiles in Currambine,,,,,,,,,,,,,,,,,,,,10,Chesapeake Way,6028,,144162847,2,2023/11/18 06:08:11+00,c5a79a04101b441cabf900084069c8ea
115.7381802,-31.73798345,2509205807,node,12.5,clinic,clinic,Kinross Medical Center,,,,,,,,,,,,,,,,,,,,,,,,106530601,3,2021/06/17 12:36:34+00,a07bd02f4a4b4021bcfe6572bc71e6c3
115.7383715,-31.738812,2509205806,node,12.5,clinic,clinic,Currambine Family Practice,,,,,,,,,,,,,,,,,,,,,,,,106530601,3,2021/06/17 12:36:34+00,9ddabdd338a143698d5781248db3e887
115.7386023,-31.73795554,8247130596,node,28.125,clinic,clinic,Grace Podiatry,,,podiatry;podiatrist;orthopaedics,,,,Mo-Sa 09:00-17:00,,,,,,,,,,,,,13,Hobsons Gate,6028,,139890062,3,2023/08/14 21:29:22+00,c39453ac6bb1452d8320199159f0605f
115.7390599,-31.74128643,8497276377,node,34.375,clinic,clinic,All Over Beauty Clinic,Kim Van der Sluis,,other,private,,,"Mo-We 09:00-17:30, Th 09:00-21:00, Fr 9:00-17:30, Sa 9:00-17:00",,,,,,,,,,,,,1244,Marmion Avenue,6028,,139890062,3,2023/08/14 21:29:34+00,c3c000ed6a454be68756f6f9490b28ab
115.7395688,-31.7417486,2509205804,node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,106530601,4,2021/06/17 12:36:34+00,ab1d11adea8e46848e205ec67fcce1a1
115.7396062,-31.75253745,624151316,node,9.375,doctors,doctor,,,,,,,,,,,,,,,,,,,,,,,,,106530601,4,2021/06/17 12:36:34+00,9899a85673c94268a63adc409370257d
115.7411907,-31.71836108,741059578,node,12.5,pharmacy,pharmacy,SuperChem,,,,,,,,,,,,,,,,,,,,,,,,106530601,4,2021/06/17 12:36:34+00,be149ee361dc4e9e98da3f5b578c577d
115.7431667,-33.28187176,6673711460,node,15.625,doctors,doctor,Treendale Medical Group,,,,,,,Mo-Fr 08:00-20:00; Sa 08:00-16:00,,,,,,,,,,,,,,,,,78835746,3,2019/12/25 03:55:36+00,0a21126463b64173bea2866c0310facc
115.7438107,-32.05542943,5321907370,node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,130736413,4,2023/01/01 01:38:52+00,eadef3809eed4e96bd4e00c263b6d2eb
115.746191,-32.05420316,10672307226,node,21.875,,optometrist,David Shanahan Optometrists,David Shanahan,,optometry,,,,,,,,,,,,,,,,,51,Market Street,,,144085244,2,2023/11/16 09:07:59+00,4281b70674fe489990e6d4b4c65c6a41
115.7469189,-32.05604567,8788484936,node,18.75,doctors,doctor,CareDx,,,,,,,,,,,,,,,,,,,,103,Market Street,,,105666041,1,2021/06/01 08:49:11+00,e0465a05167849cdbc191cfc603edb29
115.7472013,-32.05437255,11337039592,node,9.375,,optometrist,Oscar Wylee,,,,,,,,,,,,,,,,,,,,,,,,143844783,2,2023/11/10 02:31:26+00,9037c17402a84d78ae1dd90c95146e3e
115.7474009,-32.05262115,7856001763,node,12.5,pharmacy,pharmacy,Fremantle Central Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,114150714,3,2021/11/23 17:56:00+00,5a7350623fc84118a2834c1dfb34e1bd
115.7475308,-31.79908015,9699369845,node,28.125,dentist,dentist,Whitfords City Orthodontist,,,orthodontics,,,,Mo-Fr 08:30-17:00,,,,,,,,,,,,,52,Banks Avenue,6025,,120282284,1,2022/04/28 02:35:00+00,97814d80f8454939996901879f3ccb70
115.7478015,-31.79539731,9252032836,node,15.625,pharmacy,pharmacy,Dove's Pharmacy,,,,,,,,,,,yes,,,,,,,,,,,,,147157801,2,2024/02/07 02:20:54+00,b5b41bc443dc431fb6be3b1ee30d1417
115.7478174,-31.79536345,9252032836,node,15.625,pharmacy,pharmacy,Dove's Pharmacy,,,,,,,,,,,yes,,,,,,,,,,,,,147157801,2,2024/02/07 02:20:54+00,b5b41bc443dc431fb6be3b1ee30d1417
115.7481381,-31.79661646,9252064935,node,15.625,pharmacy,pharmacy,TerryWhite Chemmart,,,,,,,,,,,yes,,,,,,,,,,,,,113787373,1,2021/11/15 05:17:46+00,62b4b047b9f34a24a26a2d73617a6b22
115.7483751,-32.05295794,5213286323,node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,88566187,2,2020/07/27 12:43:09+00,4ae778ccebd34836891bb3102b0345f7
115.7485205,-32.05222192,5213286324,node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,88566187,3,2020/07/27 12:43:09+00,2ba5b39456f34584b0d9edfbeef75778
115.7491779,-32.05385883,9837988018,node,15.625,pharmacy,pharmacy,Nourish Health Pharmacy,,,,,,,,,,,yes,,,,,,,,,,,,,122709432,2,2022/06/22 12:13:10+00,9180f728310746039809ed34691dd1a8
115.7507987,-32.0529721,9717207843,node,9.375,,optometrist,For Eyes,,,,,,,,,,,,,,,,,,,,,,,,120570503,1,2022/05/05 06:06:59+00,e903ac84fb124416b9ff1e0a086909b6
115.751206,-32.046929,9710920873,node,12.5,clinic,clinic,,,,covid19_testing,,,,,,,,,,,,,,,,,,,,,140542222,3,2023/08/29 13:28:35+00,291c1bc7f1cc4f6dab06bd4e5dbdb90a
115.751258,-31.75301556,9441819937,node,18.75,pharmacy,pharmacy,Pharmacy 777,777,,,,,,,,,,yes,,,,,,,,,,,,,116491276,1,2022/01/23 09:31:17+00,361a5a2a4f654bfc83261e40c32b2dfa
115.751258,-31.75293115,9441819938,node,12.5,dentist,dentist,Connolly Dental,,,,,,,,,,,,,,,,,,,,,,,,116491276,1,2022/01/23 09:31:17+00,c71f75bf8fc4437ca4ad62ab6926e878
115.752104,-32.05308886,10008011051,node,9.375,,laboratory,Clinipath,,,,,,,,,,,,,,,,,,,,,,,,125925700,1,2022/09/08 05:25:37+00,6369844e714d48069ce03a73dadcd0ef
115.752176,-32.06406287,9648369950,node,25,doctors,doctor,Dian Abdurachman,,,psychiatry,,,,Mo-Fr 09:00-18:00,,,,,,,,,,,,,,South Terrace,6162,,143137987,4,2023/10/25 23:32:18+00,bcebef23bf4345cc80971a94f3c77e74
115.7521808,-32.5312585,5806979453,node,12.5,pharmacy,pharmacy,Friendlies Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,112699560,2,2021/10/19 13:53:25+00,1cde545d7ac945498c84f1f9b075bc54
115.7528359,-32.06916536,8509085779,node,9.375,,physiotherapist,South Fremantle Physiotherapy,,,,,,,,,,,,,,,,,,,,,,,,101096614,2,2021/03/16 06:59:36+00,ac1bbdd57d4f4badac531298fd0ffab9
115.7548033,-32.35318573,2099887162,node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,112699424,2,2021/10/19 13:50:46+00,2d637711b3e04230bd2e194806552ed5
115.7548279,-32.36715811,2101661634,node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,112699402,2,2021/10/19 13:50:10+00,ed02aa834e714d8b86b56fac29b99f92
115.7556557,-31.77647055,4315516146,node,12.5,pharmacy,pharmacy,Amcal,,,,,,,,,,,,,,,,,,,,,,,,90200261,3,2020/08/31 15:43:10+00,77dec02515d741e38d666f85defd2d70
115.7568339,-32.06206446,4601038093,node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,88566988,3,2020/07/27 13:00:24+00,b5f16793a49e4fe288b162669a7a8bf0
115.7573056,-31.98930862,6588931000,node,31.25,hospital,hospital,Clear Orthodontic Studio,Clear Orthodontic Studio,,dentist,private,,,,,,,,,,,,,,,,36,Eric Street,6011,,138790560,4,2023/07/21 02:39:56+00,ffc121f4da45469a9de1028254698701
115.7573164,-31.98947357,5313527288,node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,88624006,2,2020/07/28 13:29:46+00,bb280e6d23844d649c6334cdd9c13c69
115.7575495,-32.07066907,6923755611,node,12.5,pharmacy,pharmacy,Banovich Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,114078671,2,2021/11/22 02:19:11+00,f29aa47b88f94202a55fd3b127fe48f3
115.7575679,-32.07074082,9273496520,node,12.5,doctors,doctor,Ellen Health South Fremantle,,,,,,,,,,,,,,,,,,,,,,,,114078671,1,2021/11/22 02:19:11+00,71818c39da3a4ba998f5dcda106734cb
115.7586661,-31.89793171,7701959118,node,28.125,clinic,clinic,Scarborough Beach Counselling & Psychology,,,psychology;psychotherapist,,,,Mo-Sa 08:00-17:00,,,,,,,,,,,,,256,West Coast Highway,6019,,139890062,3,2023/08/14 21:28:58+00,9673dddd285949e5a90bba3d7e0342ad
115.7592947,-32.07483554,9650794559,node,6.25,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,119451182,1,2022/04/08 04:38:53+00,a996d3aa335a48c79a8f18863f6bc2af
115.759374,-31.74293137,2329456740,node,12.5,doctors,doctor,Step One Occupational Therapy for Children,,,,,,,,,,,,,,,,,,,,,,,,100355321,2,2021/03/03 13:41:02+00,ea657dc0d5f9418ea567875f44a1cfd0
115.7595356,-32.06366297,11428248488,node,18.75,doctors,doctor,Travel Health Plus,,,,,,,,,,,,,,,,,,,,85,South Street,,,145239877,1,2023/12/18 07:27:43+00,f777e26e88fa4532b402f6645ffc72f4
115.761595,-32.10195662,9559691521,node,25,clinic,clinic,Sanctuary Wellness & Medical Centre,,,,,,,Mo-Fr 08:30-17:00; PH off,,,,,,,,,,,,,72,Pantheon Avenue,6163,,118182615,1,2022/03/07 05:42:52+00,e31034743055455a85cbe4233ea2a79b
115.7619412,-32.06371737,8763158076,node,18.75,doctors,doctor,Gutworks Gastroenterology,,,,,,,,,,,,,,,,,,,,111,South Street,,,115967383,3,2022/01/10 06:25:02+00,8d83a25934b041ddb34de1bfd7bfe759
