,Indicator_Code,Indicator_Name,Indicator_URL,Year,Start_Year,End_Year,Region_Code,Region,Country_Code,Country,Dimension_Type,Dimension_Code,Dimension_Name,Numeric_Value,Value,Low,High,Rescaled_Value
2619,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2014,2014,2014,WPR,Western Pacific,AUS,Australia,,,,264876.0,264 876,,,80.51382750424035
2782,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2004,2004,2004,WPR,Western Pacific,AUS,Australia,,,,203517.0,203 517,,,57.27516801188748
2904,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,1991,1991,1991,WPR,Western Pacific,AUS,Australia,,,,208800.0,208 800,,,63.468518034421336
2918,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,1989,1989,1989,WPR,Western Pacific,AUS,Australia,,,,197000.0,197 000,,,55.441108597030386
2943,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2009,2009,2009,WPR,Western Pacific,AUS,Australia,SEX,SEX_BTSX,Both sexes,126915.6,126916 [96523-164163],96523.49,164163.4,86.55801299779233
3091,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2014,2014,2014,WPR,Western Pacific,AUS,Australia,,,,285769.0,285 769,,,80.42309727241003
3100,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,1990,1990,1990,WPR,Western Pacific,AUS,Australia,,,,198500.0,198 500,,,55.863249017819946
3170,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,1999,1999,1999,WPR,Western Pacific,AUS,Australia,,,,191405.0,191 405,,,53.866524827485286
3271,HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,2013,2013,2013,WPR,Western Pacific,AUS,Australia,,,,36765.0,36 765,,,73.03192228998232
3345,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,1999,1999,1999,WPR,Western Pacific,AUS,Australia,,,,191405.0,191 405,,,58.18099470487748
3354,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2018,2018,2018,WPR,Western Pacific,AUS,Australia,,,,324179.0,324 179,,,91.232706314095
3427,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,1983,1983,1983,WPR,Western Pacific,AUS,Australia,,,,151900.0,151 900,,,42.74875327862394
3481,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2002,2002,2002,WPR,Western Pacific,AUS,Australia,,,,193853.0,193 853,,,54.55545799421386
3556,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2012,2012,2012,WPR,Western Pacific,AUS,Australia,,,,75257.0,75 257,,,72.9262762122563
3878,HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,2015,2015,2015,WPR,Western Pacific,AUS,Australia,,,,40944.0,40 944,,,81.3333068473014
3927,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2003,2003,2003,WPR,Western Pacific,AUS,Australia,SEX,SEX_FMLE,Female,56188.67,56189 [42376-72750],42376.06,72750.42,38.32136969914387
4089,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2010,2010,2010,WPR,Western Pacific,AUS,Australia,,,,216338.0,216 338,,,65.75982880522339
4119,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2020,2020,2020,WPR,Western Pacific,AUS,Australia,,,,100260.0,100 260,,,97.15492848560021
4128,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,1983,1983,1983,WPR,Western Pacific,AUS,Australia,,,,151900.0,151 900,,,46.17273893404502
4231,HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,2021,2021,2021,WPR,Western Pacific,AUS,Australia,,,,50341.0,50 341,,,100.0
4251,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2008,2008,2008,WPR,Western Pacific,AUS,Australia,,,,218928.0,218 928,,,66.54710592068867
4274,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2007,2007,2007,WPR,Western Pacific,AUS,Australia,,,,212480.0,212 480,,,64.58712026797818
4386,HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,2005,2005,2005,WPR,Western Pacific,AUS,Australia,,,,25547.0,25 547,,,50.74789932659264
4424,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2011,2011,2011,WPR,Western Pacific,AUS,Australia,,,,227712.0,227 712,,,69.21716081730915
4457,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2006,2006,2006,WPR,Western Pacific,AUS,Australia,SEX,SEX_MLE,Male,62245.28,62245 [50227-77398],50226.98,77397.88,42.452052823224435
4560,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2011,2011,2011,WPR,Western Pacific,AUS,Australia,SEX,SEX_FMLE,Female,65362.87,65363 [46602-87826],46602.02,87826.29,44.57828786242992
4606,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,1994,1994,1994,WPR,Western Pacific,AUS,Australia,,,,204748.0,204 748,,,57.62160458388211
4621,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,1993,1993,1993,WPR,Western Pacific,AUS,Australia,,,,195737.0,195 737,,,55.08566636272556
4748,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2012,2012,2012,WPR,Western Pacific,AUS,Australia,SEX,SEX_MLE,Male,67710.61,67711 [53190-86800],53189.76,86799.55,46.17947565522636
4766,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2016,2016,2016,WPR,Western Pacific,AUS,Australia,SEX,SEX_BTSX,Both sexes,143284.5,143285 [103110-194887],103109.6,194887.4,97.72180577787266
4780,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,1982,1982,1982,WPR,Western Pacific,AUS,Australia,,,,149500.0,149 500,,,42.07332860536062
4791,SDGNTDTREATMENT,Reported number of people requiring interventions against NTDs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-people-requiring-interventions-against-ntds,2017,2017,2017,WPR,Western Pacific,AUS,Australia,,,,20123.0,20 123,,,13.907472424183783
4978,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,1997,1997,1997,WPR,Western Pacific,AUS,Australia,,,,191816.0,191 816,,,58.305925552157866
5066,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1972,1972,1972,WPR,Western Pacific,AUS,Australia,,,,18369.0,18 369,,,17.800108531338424
5074,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2012,2012,2012,WPR,Western Pacific,AUS,Australia,SEX,SEX_FMLE,Female,65762.55,65763 [46511-88899],46511.48,88898.73,44.85087457860159
5077,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,1985,1985,1985,WPR,Western Pacific,AUS,Australia,,,,150700.0,150 700,,,45.80797733614605
5374,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2008,2008,2008,WPR,Western Pacific,AUS,Australia,SEX,SEX_MLE,Male,65668.66,65669 [52619-82137],52618.86,82136.76,44.78684043433278
5391,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,1987,1987,1987,WPR,Western Pacific,AUS,Australia,,,,185000.0,185 000,,,56.234079676091696
5504,SDGNTDTREATMENT,Reported number of people requiring interventions against NTDs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-people-requiring-interventions-against-ntds,2014,2014,2014,WPR,Western Pacific,AUS,Australia,,,,54311.0,54 311,,,37.535592845492495
5523,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1996,1996,1996,WPR,Western Pacific,AUS,Australia,,,,43756.0,43 756,,,42.40086825070739
5574,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,1980,1980,1980,WPR,Western Pacific,AUS,Australia,,,,151800.0,151 800,,,42.72061058390463
5652,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1986,1986,1986,WPR,Western Pacific,AUS,Australia,,,,32137.0,32 137,,,31.141710919027872
5718,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2004,2004,2004,WPR,Western Pacific,AUS,Australia,SEX,SEX_MLE,Male,59289.0,59289 [48330-73003],48329.76,73002.77,40.43583320431932
5724,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2019,2019,2019,WPR,Western Pacific,AUS,Australia,,,,97039.0,97 039,,,94.03368347610372
5799,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,1991,1991,1991,WPR,Western Pacific,AUS,Australia,,,,208800.0,208 800,,,58.76194657390834
5824,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2013,2013,2013,WPR,Western Pacific,AUS,Australia,SEX,SEX_BTSX,Both sexes,134139.8,134140 [99449-177756],99449.16,177755.8,91.4850069803969
5842,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2019,2019,2019,WPR,Western Pacific,AUS,Australia,,,,309906.0,309 906,,,94.20150646539932
5945,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2002,2002,2002,WPR,Western Pacific,AUS,Australia,SEX,SEX_BTSX,Both sexes,116233.1,116233 [92079-145667],92078.68,145667.2,79.2724155310592
5957,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2008,2008,2008,WPR,Western Pacific,AUS,Australia,,,,64117.0,64 117,,,62.131284158300716
5994,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,1984,1984,1984,WPR,Western Pacific,AUS,Australia,,,,154400.0,154 400,,,43.45232064660655
6038,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2011,2011,2011,WPR,Western Pacific,AUS,Australia,SEX,SEX_MLE,Male,68161.06,68161 [53906-86591],53906.14,86590.52,46.48668814096378
6046,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2000,2000,2000,WPR,Western Pacific,AUS,Australia,SEX,SEX_BTSX,Both sexes,112717.9,112718 [90268-139827],90268.05,139827.2,76.87500554135075
6099,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2013,2013,2013,WPR,Western Pacific,AUS,Australia,SEX,SEX_FMLE,Female,65409.14,65409 [45866-88921],45866.41,88921.27,44.609844576194085
6113,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2016,2016,2016,WPR,Western Pacific,AUS,Australia,SEX,SEX_FMLE,Female,69459.0,69459 [47352-96739],47352.11,96739.48,47.371899315873364
6120,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1985,1985,1985,WPR,Western Pacific,AUS,Australia,,,,30168.0,30 168,,,29.233691228342185
6319,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2020,2020,2020,WPR,Western Pacific,AUS,Australia,,,,315017.0,315 017,,,95.7550869044507
6334,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2019,2019,2019,WPR,Western Pacific,AUS,Australia,,,,336286.0,336 286,,,94.63994236376122
6395,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1987,1987,1987,WPR,Western Pacific,AUS,Australia,,,,33494.0,33 494,,,32.456684367611146
6423,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2008,2008,2008,WPR,Western Pacific,AUS,Australia,SEX,SEX_FMLE,Female,64190.78,64191 [46637-85112],46636.98,85112.32,43.77890794810431
6558,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2021,2021,2021,WPR,Western Pacific,AUS,Australia,,,,355332.0,355 332,,,100.0
6606,SDGNTDTREATMENT,Reported number of people requiring interventions against NTDs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-people-requiring-interventions-against-ntds,2016,2016,2016,WPR,Western Pacific,AUS,Australia,,,,20994.0,20 994,,,14.509440743095677
6619,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2006,2006,2006,WPR,Western Pacific,AUS,Australia,SEX,SEX_BTSX,Both sexes,122610.8,122611 [94572-156861],94571.91,156861.0,83.62208601676797
6686,SDGNTDTREATMENT,Reported number of people requiring interventions against NTDs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-people-requiring-interventions-against-ntds,2019,2019,2019,WPR,Western Pacific,AUS,Australia,,,,13700.0,13 700,,,9.468388024216958
6743,HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,2002,2002,2002,WPR,Western Pacific,AUS,Australia,,,,21904.0,21 904,,,43.5112532528158
6779,HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,1999,1999,1999,WPR,Western Pacific,AUS,Australia,,,,19395.0,19 395,,,38.527244194592875
6835,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2000,2000,2000,WPR,Western Pacific,AUS,Australia,,,,47372.0,47 372,,,45.90488003410985
6837,SDGNTDTREATMENT,Reported number of people requiring interventions against NTDs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-people-requiring-interventions-against-ntds,2021,2021,2021,WPR,Western Pacific,AUS,Australia,,,,18286.0,18 286,,,12.637879081082575
6866,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2018,2018,2018,WPR,Western Pacific,AUS,Australia,SEX,SEX_FMLE,Female,69402.04,69402 [46551-98242],46550.85,98242.19,47.33305188954945
6951,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2010,2010,2010,WPR,Western Pacific,AUS,Australia,SEX,SEX_MLE,Male,64942.23,64942 [51644-81976],51644.02,81976.25,44.29140616634692
7082,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1994,1994,1994,WPR,Western Pacific,AUS,Australia,,,,43404.0,43 404,,,42.059769758517774
7098,SDGNTDTREATMENT,Reported number of people requiring interventions against NTDs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-people-requiring-interventions-against-ntds,2020,2020,2020,WPR,Western Pacific,AUS,Australia,,,,20401.0,20 401,,,14.09960467752191
7162,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2008,2008,2008,WPR,Western Pacific,AUS,Australia,,,,218928.0,218 928,,,61.61223869507953
7215,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2015,2015,2015,WPR,Western Pacific,AUS,Australia,,,,83490.0,83 490,,,80.90429861622543
7245,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2001,2001,2001,WPR,Western Pacific,AUS,Australia,SEX,SEX_MLE,Male,57673.68,57674 [47739-69961],47738.71,69960.51,39.33416493378683
7293,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2017,2017,2017,WPR,Western Pacific,AUS,Australia,,,,313774.0,313 774,,,88.30445892855133
7372,SDGNTDTREATMENT,Reported number of people requiring interventions against NTDs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-people-requiring-interventions-against-ntds,2013,2013,2013,WPR,Western Pacific,AUS,Australia,,,,144692.0,144 692,,,100.0
7391,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2014,2014,2014,WPR,Western Pacific,AUS,Australia,SEX,SEX_FMLE,Female,68199.8,68200 [47415-93207],47414.65,93207.32,46.513109301353325
7543,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2007,2007,2007,WPR,Western Pacific,AUS,Australia,SEX,SEX_MLE,Male,62413.0,62413 [50237-77757],50236.71,77757.12,42.56643994301105
7602,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2003,2003,2003,WPR,Western Pacific,AUS,Australia,SEX,SEX_BTSX,Both sexes,114548.3,114548 [90197-144490],90197.0,144490.3,78.1233610389504
